d,n,j,D_original,D_squarefree,tunnell_result
55644139,2,7460,111288280,27822070,✓ CONFIRMADO
2434984743,4,209356,87659450760,21914862690,✓ CONFIRMADO
971264453,5,197106,77701156260,53809665,✓ CONFIRMADO
6697212731,2,81837,13394425464,372067374,✓ CONFIRMADO
43849825811,2,209404,87699651624,2436101434,✓ CONFIRMADO
6132221171,2,78309,12264442344,340678954,✓ CONFIRMADO
6474479,2,2545,12948960,809310,✓ CONFIRMADO
15894275,5,25215,1271542020,189105,✓ CONFIRMADO
63460411481,2,251914,126920822964,31730205741,✓ CONFIRMADO
257362952,8,224596,100886277240,2802396590,✓ CONFIRMADO
437081741,2,20907,874163484,24282319,✓ CONFIRMADO
368294323,4,81421,13258595640,3314648910,✓ CONFIRMADO
31833550,4,23938,1146007812,286501953,✓ CONFIRMADO
124088459,2,11140,248176920,62044230,✓ CONFIRMADO
767451312,4,117534,27628247244,6907061811,✓ CONFIRMADO
633352721,2,25167,1266705444,316676361,✓ CONFIRMADO
33470153651,2,182949,66940307304,16735076826,✓ CONFIRMADO
7164860669,2,84646,14329721340,44227535,✓ CONFIRMADO
9809218721,2,99042,19618437444,4904609361,✓ CONFIRMADO
78070236,12,238074,113357982804,28339495701,✓ CONFIRMADO
29830989371,2,172717,59661978744,14915494686,✓ CONFIRMADO
322431850,4,76183,11607546612,2901886653,✓ CONFIRMADO
36813137555,2,191868,73626275112,18406568778,✓ CONFIRMADO
2211679811,2,47029,4423359624,1105839906,✓ CONFIRMADO
91283756,12,257434,132544013844,33136003461,✓ CONFIRMADO
2294094137,4,203209,82587388944,5161711809,✓ CONFIRMADO
42042836891,2,205044,84085673784,21021418446,✓ CONFIRMADO
28282998799,2,168176,56565997600,147154,✓ CONFIRMADO
7468329979,2,86420,14936659960,3734164990,✓ CONFIRMADO
77985309821,2,279259,155970619644,38992654911,✓ CONFIRMADO
708033895,5,168290,56642711620,14160677905,✓ CONFIRMADO
82601921429,2,287406,165203842860,4588995635,✓ CONFIRMADO
20971529039,2,144816,41943058080,2621441130,✓ CONFIRMADO
4583628505,2,67703,9167257012,2291814253,✓ CONFIRMADO
1123623919,2,33521,2247247840,140452990,✓ CONFIRMADO
1186010281,2,34439,2372020564,593005141,✓ CONFIRMADO
54996581681,2,234514,109993163364,62354401,✓ CONFIRMADO
23518522805,2,153358,47037045612,11759261403,✓ CONFIRMADO
15883434869,2,126030,31766869740,7941717435,✓ CONFIRMADO
8731967,18,150705,45423692640,315442310,✓ CONFIRMADO
1188386877,4,146257,42781927584,2673870474,✓ CONFIRMADO
27612967411,2,166172,55225934824,13806483706,✓ CONFIRMADO
67330129879,2,259481,134660259760,8416266235,✓ CONFIRMADO
369812129,2,19231,739624260,184906065,✓ CONFIRMADO
57428048521,2,239642,114856097044,169905469,✓ CONFIRMADO
54081130361,2,232554,108162260724,551848269,✓ CONFIRMADO
52882751405,2,229963,105765502812,26441375703,✓ CONFIRMADO
1223075755,2,34973,2446151512,611537878,✓ CONFIRMADO
462959771,2,21517,925919544,231479886,✓ CONFIRMADO
20516408459,2,143236,41032816920,1139800470,✓ CONFIRMADO
56777947,14,259169,134336622784,2099009731,✓ CONFIRMADO
14567886505,2,120698,29135773012,7283943253,✓ CONFIRMADO
81195647651,2,284949,162391295304,4510869314,✓ CONFIRMADO
7695274,8,38837,3016547464,754136866,✓ CONFIRMADO
7819776469,2,88430,15639552940,3909888235,✓ CONFIRMADO
4640538761,2,68122,9281077524,34061,✓ CONFIRMADO
4574155055,2,67633,9148310112,571769382,✓ CONFIRMADO
36408646909,2,190811,72817293820,18204323455,✓ CONFIRMADO
339669233,6,159610,50950384980,12737596245,✓ CONFIRMADO
137976503,4,49836,4967154120,1241788530,✓ CONFIRMADO
22531360919,2,150105,45062721840,2816420115,✓ CONFIRMADO
4255279055,2,65233,8510558112,59101098,✓ CONFIRMADO
245349332,5,99066,19627946580,4906986645,✓ CONFIRMADO
27094641419,2,164605,54189282840,13547320710,✓ CONFIRMADO
7891390721,2,88834,15782781444,3945695361,✓ CONFIRMADO
39835250,4,26778,1434069012,358517253,✓ CONFIRMADO
24853995451,2,157652,49707990904,12426997726,✓ CONFIRMADO
2067707392,5,287591,165416591380,41354147845,✓ CONFIRMADO
5157030608,4,304675,185653101900,1856531019,✓ CONFIRMADO
195649157,8,195825,76694469600,191736174,✓ CONFIRMADO
1210239731,2,34789,2420479464,605119866,✓ CONFIRMADO
17923082,4,17962,645230964,161307741,✓ CONFIRMADO
53863215139,2,232085,107726430280,26931607570,✓ CONFIRMADO
2055484158,4,192351,73997429700,739974297,✓ CONFIRMADO
88554749141,2,297582,177109498284,44277374571,✓ CONFIRMADO
683953,5,5231,54716260,13679065,✓ CONFIRMADO
61016263,4,33141,2196585480,549146370,✓ CONFIRMADO
71930971799,2,268200,143861943600,39961651,✓ CONFIRMADO
1216733935,6,302085,182510090280,103463770,✓ CONFIRMADO
7067008289,2,84066,14134016580,3533504145,✓ CONFIRMADO
3497480459,2,59140,6994960920,194304470,✓ CONFIRMADO
20904966809,2,144586,41809933620,129043005,✓ CONFIRMADO
29859321601,2,172799,59718643204,14929660801,✓ CONFIRMADO
29334269255,2,171273,58668538512,3666783657,✓ CONFIRMADO
144436102,5,76010,11554888180,2888722045,✓ CONFIRMADO
508871789,5,142671,40709743140,10177435785,✓ CONFIRMADO
24080643,4,20820,866903160,216725790,✓ CONFIRMADO
3426755981,2,58539,6853511964,1713377991,✓ CONFIRMADO
